id_municipio,sigla_uf,nome,i111,i112,i113,i121,i122,i123,i124,i131,i132,i133,i211,i212,i213,i221,i222,i223,i224,i311,i312,i313,i321,i322,i323,i411,i412,i413,i511,i512,i513,i514,i515,i521,i522,i523,i524,i611,i612,i613,i614,i615,i621,i622,i623,i711,i712,i721,i722,i723,i724
1200401,AC,Rio Branco,0.1042694440729692,0.02319423336823078,1.04848850590844,11.48466901150814,309.974678984653,134.6444741401,0.2524,1.436788070926894e-4,1,0.1111111111111111,10,28589,0.0588235294117647,1.7397209652617769,4.8478472619050854e-4,1.8311329219388035,3457.0217391304345,0.72,0.011979492127052238,0.0022904784809546714,25356.725347271746,1.4870634499547457,627540.597380233,0.372511463094617,0,6587.59633998646,0.00863185153215365,0.0311499109432033,21395.3388001726,0,34.5263157894737,0.00237375917134225,0.0073370738023306,0.0369011652999568,0.0209322399654726,4.8,0.473615208128482,0.537342029688521,508.54654233495,0.0143391367798985,0.179941002949852,0.16374269005848,4416.76636496962,0,0,0,0,0,0
5108402,MT,Varzea Grande,0.11108021671869714,0.01687294028073438,1.4259385721690625,8.924716494393877,1140.53520460712,159.268975946923,0.7723,5.80330212621191e-4,1,0.05,7,68599,0.2,1.5499260408924642,0.0027983089930822447,1.9792182088075212,3430.95,0.718,0.1338442972685703,0.0056408238226420045,32042.664626364935,2.6468093128475823,616464.316603968,0.229436486014271,0,4644.01968779164,0,0.043623068639972,0,0,54.0540540540541,0.00128832775057975,0.0208709095593919,0.0378768358670446,0.0242205617108993,4.3,0.502449265220434,0.548270050413842,489.214737762238,0.00408392725350188,0.143456962911127,0.207792207792208,4393.88927439533,0,0,0,0,0,0
1100205,RO,Porto Velho,0.02670337047010291,0.00761281383284587,1.0657612494974265,11.66282068834958,460.471708649101,134.432525197294,0.7608,3.0994634659392074e-4,1,0,6,37407,0.14285714285714285,0.5784904054329121,4.750216286224695e-4,1.8788516458740416,1561.878612716763,0.801,0.027194904535902842,0.008544400366188587,14314.962286373167,1.7377922944830293,612583.913541913,0.322859611111999,0,7729.95526749151,0.00682146136691591,0.257579248177794,26146.0552276007,0,34.4428736666238,0.0097074642529188,0.00511609602518693,0.0365997638724911,0.0217762035943854,4.4,0.537893946973487,0.460437990300023,511.174414307004,0.0107802198622679,0.175462731365683,0.125189845953569,4586.974921875,0,0,0,0,0,0
3509502,SP,Campinas,0.04772129081718015,0.01713982791015774,1.0131089749987954,13.9047278882575,78.6303118485249,146.324713046871,0.5978,1.187524468067585e-5,0,0.5,3,84,0.00210084033613445,4.336851724218042,2.7004127578380643e-4,1.4419818598682028,8608.733333333334,0.768,-0.03618067013739473,0.0053233319218438085,42719.15540887303,0.8166660393691896,611845.505947477,0.342298509397723,2300000,27500.8129152405,0.0389510077975577,0.103087342474709,2967.65079226129,1,165.687844812244,0.0146388112402531,0.0141606591143151,0.092136236574959507,0.0942327497425335,5.2,0.635840788752967,0.56962956919469,556.733078253351,0.0117617245203532,0.26593025378857,0.396542291279133,8589.36797649165,46,72,42,53,74,52
2304400,CE,Fortaleza,0.06319086467112865,0.03896029904009988,1.0434148588184629,17.410414018526794,302.845571904892,61.0007705626813,0.4683,1.2911322587531821e-4,0,0.022727272727272728,6,28589,0.05555555555555555,1.7845612932846822,5.536524706901949e-4,1.8268510568333365,3567.5,0.716,0.00861868776950439,0.0017323516673884798,22583.857168099898,1.3836007711576983,603054.469710713,0.461385962730295,5000000,13835.6991877978,0.0173618268856364,0.054985752846615,3635.99670171099,0,115.048020823983,0.00517648136695756,0.00742115027829314,0.0561854371378181,0.0465196179481894,5.1,0.344121998789428,0.523580650491952,521.83072670419,0.0119646715114614,0.0998722173649876,0.291926433915212,4405.76149339002,43,64,50,35,69,32
1721000,TO,Palmas,0.04361811660276573,0.01437148049998785,1.038558679912443,17.410414018526794,268.08346474038,0,0.6339,1.1769936703513912e-4,0,0,11,22210,0.04545454545454545,0.46443210385879097,4.350545878150538e-4,1.801639491937663,3662.163043478261,0.782,0.005528826383608243,0.002190100744634253,12731.315972739178,1.32207209257541,594837.423076178,0.669468419540437,0,9600.19395945096,0.0150096836668819,0.0357224531919759,27415.816655907,0,66.8128901636578,0.00532601678502259,0.00435765009683667,0.0603615235635894,0.0335700451904455,5.4,0.624764150943396,0.62692824054909,530.752041371802,0.00943539520061562,0.257075471698113,0.181041181041181,4672.62240890035,0,0,0,0,0,85
5103403,MT,Cuiaba,0.34309559280083213,0.01980618397210392,1.3437729062754942,11.154684057105209,873.165414282254,96.767559980259,597,4.93471010325471e-4,1,0.1,7,68599,0.16666666666666666,1.1927538788705263,2.7107029551411567e-4,1.944088028305922,1997.3904761904764,0.737,0.08847593771358772,0.002373759171342253,22287.702209869003,2.159297052154195,593224.436009842,0.664646812020587,0,16531.0994573566,0.0111905082917622,0.0417596934073027,21137.808413105002,0,101.04433224981,0.00262909532155858,0.00660644465417285,0.0622219226102198,0.0473911284886073,4.3,0.663534293385404,0.6503877176655,533.60894866868,0.0100777847227306,0.301684159140835,0.180366369187412,5093.8850604756,48,78,66,0,81,0
3304904,RJ,Sao Goncalo,0.02215738114949769,0.01713982791015774,1.0098681021744746,12.56967610508114,57.6509285777571,61.284334561263,0.6375,7.2512485060529105e-6,1,0.07142857142857142,15,11,0.00131752305665349,2.459491020798923,1.912951285922841e-4,1.4199603831053114,5184.709090909091,751,-0.04329202758004669,0.003337571519389701,27785.512671788383,0.7357171196191232,586523.851729313,0.137779096664363,0,3805.36298853651,0,0.0499630031741202,0,0,83.3017796289284,0.00165220983064849,0.0083987333057965,0.0428197714443068,0.0313919867823214,3.6,0.528173190984579,0.330324096227505,524.28843579235,0.00697328910950772,0.107651245551601,0.00562904587672389,4212.56178082192,64,89,0,0,0,43
3303906,RJ,Petropolis,0.00695470433880488,0.00761281383284587,1.0629857147389026,11.66282068834958,386.905827765527,138.526697017932,0.7313,2.846557109565226e-4,1,0.06666666666666667,12,33199,0.1,0.01856073996477902,4.389981757373512e-4,1.87423859057258,4404.842857142858,0.81,0.018810276696731243,0.005759321006365566,16053.850928578271,1.600510615425961,583446.784980003,0.158089378161783,0,13003.8481917277,0,0.0545989714174816,2093.90497520397,0,99.506325208269,0.00175971844504879,0.00623900175971845,0.0614301711726124,0.0611102223644217,4.2,0.462563811684628,0.517648366238593,543.173233180927,0.0106738255933425,0.160521837776517,0.154309371471584,4748.1470192926,0,0,0,0,0,0
3552403,SP,Sumare,0.0387368214504637,0.01713982791015774,1.0120120412676454,12.447100722183263,65.6238434047464,48.7969518747201,0.3429,9.227157684339268e-6,0,0,5,76,0.00193423597678916,2.5994985832015827,3.36883494270924e-4,1.4408183848425906,6089.720930232558,0.762,-0.03932312115701836,0.029400326670296337,48959.39743963624,0.8096236028928336,560509.010512956,0.122785219204402,1100000,6252.60939370418,0,0.116278489539801,0,0,107.071854586765,0.00211528291909043,0.0407191961924907,0.0388683236382866,0.0388683236382866,5.2,0.519183673469388,0.517393589246268,513.554340044743,0.0062943561416053,0.0979591836734694,0,10052.9532119914,0,0,0,0,0,0
