id_municipio,sigla_uf,nome,pequena,media,grande,m_p,g_m,i322
1600303,AP,Macapá,809,164,30,0.2027194066749073,0.18292682926829268,0.9023646638905414
3525904,SP,Jundiaí,1777,440,98,0.24760832864378166,0.22272727272727272,0.8995144628099173
1500800,PA,Ananindeua,738,172,36,0.23306233062330622,0.20930232558139536,0.8980530016224987
2607901,PE,Jaboatão dos Guararapes,1129,238,45,0.2108060230292294,0.18907563025210083,0.896917590565638
3303500,RJ,Nova Iguaçu,1317,227,35,0.17236142748671224,0.15418502202643172,0.894544819422073
3529401,SP,Mauá,869,173,30,0.19907940161104717,0.17341040462427745,0.8710615122456481
3548500,SP,Santos,2211,423,69,0.19131614654002713,0.16312056737588654,0.852623107489563
3205002,ES,Serra,1471,331,63,0.22501699524133242,0.1903323262839879,0.8458575588028587
4115200,PR,Maringá,2300,365,48,0.15869565217391304,0.13150684931506848,0.8286732970538562
4309209,RS,Gravataí,560,122,22,0.21785714285714286,0.18032786885245902,0.8277344799785005
2604106,PE,Caruaru,1142,163,19,0.14273204903677758,0.1165644171779141,0.8166660393691896
3551009,SP,São Vicente,566,79,9,0.13957597173144876,0.11392405063291139,0.81621535010415
3300456,RJ,Belford Roxo,381,53,6,0.13910761154855644,0.11320754716981132,0.813812744749021
4316907,RS,Santa Maria,1037,156,19,0.15043394406943106,0.12179487179487179,0.8096236028928336
3534401,SP,Osasco,1774,386,66,0.21758737316798196,0.17098445595854922,0.7858197535504309
1506807,PA,Santarém,553,84,10,0.1518987341772152,0.11904761904761904,0.7837301587301586
3516200,SP,Franca,1379,206,23,0.14938361131254532,0.11165048543689321,0.7474078612498822
3552809,SP,Taboão da Serra,645,142,23,0.22015503875968992,0.1619718309859155,0.7357171196191232
3510609,SP,Carapicuíba,497,93,12,0.18712273641851107,0.12903225806451613,0.689559486645855
3513801,SP,Diadema,1269,277,39,0.21828211189913319,0.1407942238267148,0.6450103611411592
3518800,SP,Guarulhos,3883,1004,161,0.25856296677826424,0.1603585657370518,0.6201915445786574
3201308,ES,Cariacica,784,156,19,0.1989795918367347,0.12179487179487179,0.6120973044049967
2303709,CE,Caucaia,491,91,9,0.18533604887983707,0.0989010989010989,0.5336312039608743
3541000,SP,Praia Grande,736,122,8,0.16576086956521738,0.06557377049180328,0.3955925826390756
3523107,SP,Itaquaquecetuba,584,161,15,0.2756849315068493,0.09316770186335403,0.33794992477142083
