id_municipio,sigla_uf,nome,i111,i112
3510609,SP,Carapicuiba,0.04772129081718015,0.01713982791015774
3552502,SP,Suzano,0.0450641418587453,0.01713982791015774
3541000,SP,Praia Grande,0.04339983699239113,0.01713982791015774
3516200,SP,Franca,0.038736821450463706,0.01713982791015774
3530607,SP,Mogi Das Cruzes,0.03246656355064071,0.01713982791015774
3518800,SP,Guarulhos,0.030199250850981938,0.01713982791015774
3513801,SP,Diadema,0.028128510207309117,0.01713982791015774
3518701,SP,Guaruja,0.022157381149497692,0.01713982791015774
3552403,SP,Sumare,0.01920073061806877,0.01713982791015774
3552205,SP,Sorocaba,0.017196976841481845,0.01713982791015774
3523107,SP,Itaquaquecetuba,0.006087977501597735,0.01713982791015774
3509502,SP,Campinas,0.006087273814658314,0.01713982791015774
3549805,SP,Sao Jose Do Rio Preto,0,0.01713982791015774
3525904,SP,Jundiai,0,0.01713982791015774
1721000,TO,Palmas,0.03626947084346332,0.01818658056692751
